"","CustID","Week","Calls","Minutes","Amt"
"1",1001,1,56,6.53333333333333,78.4
"2",1001,2,49,12.25,154.35
"3",1001,3,140,7,126
"4",1001,4,182,27.3,393.12
"5",1001,5,70,17.5,294
"6",1001,6,63,7.35,105.84
"7",1001,7,70,9.33333333333333,140
"8",1001,8,154,10.2666666666667,73.92
"9",1001,9,91,15.1666666666667,54.6
"10",1001,10,21,3.5,54.6
"11",1001,11,126,27.3,163.8
"12",1001,12,7,0.583333333333333,5.95
"13",1001,13,203,13.5333333333333,113.68
"14",1001,14,49,5.71666666666667,37.73
"15",1001,15,63,15.75,141.75
"16",1001,16,63,7.35,83.79
"17",1001,17,21,1.4,15.96
"18",1001,18,189,25.2,181.44
"19",1001,19,63,1.05,17.01
"20",1001,20,147,29.4,370.44
"21",1001,21,189,6.3,41.58
"22",1001,22,56,11.2,67.2
"23",1001,23,105,26.25,189
"24",1001,24,70,16.3333333333333,264.6
"25",1002,1,70,17.5,168
"26",1002,2,7,0.583333333333333,2.45
"27",1002,3,7,1.05,17.64
"28",1002,4,84,2.8,18.48
"29",1002,5,21,5.25,75.6
"30",1002,6,56,12.1333333333333,50.96
"31",1002,7,91,6.06666666666667,25.48
"32",1002,8,126,4.2,60.48
"33",1002,9,140,11.6666666666667,77
"34",1002,10,203,10.15,30.45
"35",1002,11,133,11.0833333333333,199.5
"36",1002,12,63,15.75,179.55
"37",1002,13,161,37.5666666666667,586.04
"38",1002,14,21,5.25,34.65
"39",1002,15,49,4.08333333333333,71.05
"40",1002,16,63,3.15,47.25
"41",1002,17,70,3.5,46.2
"42",1002,18,147,2.45,39.69
"43",1002,19,56,8.4,126
"44",1002,20,133,17.7333333333333,276.64
"45",1002,21,70,1.16666666666667,4.9
"46",1002,22,133,11.0833333333333,192.85
"47",1002,23,140,28,184.8
"48",1002,24,21,1.75,14.7
"49",1003,1,63,5.25,81.9
"50",1003,2,14,3.5,50.4
"51",1003,3,63,2.1,36.54
"52",1003,4,133,17.7333333333333,127.68
"53",1003,5,56,2.8,43.68
"54",1003,6,56,13.0666666666667,172.48
"55",1003,7,140,4.66666666666667,14
"56",1003,8,133,4.43333333333333,66.5
"57",1003,9,7,1.63333333333333,26.46
"58",1003,10,161,5.36666666666667,77.28
"59",1003,11,63,15.75,198.45
"60",1003,12,49,4.08333333333333,39.2
"61",1003,13,28,6.53333333333333,43.12
"62",1003,14,70,5.83333333333333,35
"63",1003,15,147,7.35,66.15
"64",1003,16,56,6.53333333333333,109.76
"65",1003,17,28,3.73333333333333,51.52
"66",1003,18,196,29.4,423.36
"67",1003,19,70,4.66666666666667,72.8
"68",1003,20,49,3.26666666666667,58.8
"69",1003,21,168,28,268.8
"70",1003,22,49,5.71666666666667,102.9
"71",1003,23,35,2.33333333333333,32.2
"72",1003,24,35,4.66666666666667,70
"73",1004,1,63,15.75,274.05
"74",1004,2,63,2.1,35.28
"75",1004,3,49,1.63333333333333,9.8
"76",1004,4,168,8.4,151.2
"77",1004,5,70,17.5,189
"78",1004,6,70,17.5,94.5
"79",1004,7,7,1.75,6.3
"80",1004,8,63,7.35,119.07
"81",1004,9,63,3.15,49.14
"82",1004,10,28,6.06666666666667,83.72
"83",1004,11,42,3.5,25.2
"84",1004,12,147,22.05,343.98
"85",1004,13,203,13.5333333333333,154.28
"86",1004,14,28,7,58.8
"87",1004,15,133,11.0833333333333,172.9
"88",1004,16,70,8.16666666666667,63.7
"89",1004,17,7,0.933333333333333,11.2
"90",1004,18,210,14,193.2
"91",1004,19,63,9.45,102.06
"92",1004,20,112,3.73333333333333,33.6
"93",1004,21,189,31.5,94.5
"94",1004,22,161,24.15,72.45
"95",1004,23,98,6.53333333333333,66.64
"96",1004,24,70,5.83333333333333,77
"97",1005,1,56,6.53333333333333,23.52
"98",1005,2,35,2.91666666666667,17.5
"99",1005,3,147,19.6,176.4
"100",1005,4,56,14,235.2
"101",1005,5,28,6.06666666666667,54.6
"102",1005,6,56,1.86666666666667,19.04
